Tributary_Subcatchment,Drainage_Area_ha,Drainage_Area_sqkm,Gross_Soil_Loss_Mt_yr,Mean_SDR,Net_Sediment_Export_Mt_yr,Mean_Sediment_Export_t_ha_yr,Annual_Siltation_Volume_M_m3_yr,Lake_Inflow_Contribution_Pct
Gilgel Abay (Little Blue Nile),690189.21,6901.8921,15.681062,0.07349097046655166,1.6639431577370332,2.4108507256104934,1.3311545261896267,6.01225171537116
Gumara River (Mt. Guna / SE),349712.55,3497.1255,9.114117,0.08094066003194689,0.9569154426051688,2.7362913987649824,0.765532354084135,3.457579956693032
Ribb River (Debub Gondar / East),336273.66,3362.7365999999997,17.490548,0.10374588247894255,2.0214987753038645,6.01146927566038,1.6171990202430915,7.304191506139247
Megech River (North / Gondar),299591.82,2995.9182,19.170056,0.10523127878457451,2.3383971795511296,7.8052771252270166,1.870717743640904,8.44922639851212
Direct Lake Tana Littoral Catchments,2941128.4499999997,29411.284499999998,171.362144,0.09869424804963801,20.69511858702223,7.036455203791672,16.556094869617784,74.77675042328444
