Elevation_Belt,Area_ha,Area_Pct,Mean_Soil_Loss_t_ha_yr,Median_Soil_Loss_t_ha_yr,Total_Displacement_Mt_yr,Displacement_Pct
"Kolla (Lowlands, <1,500 m)",337983.3,7.564875306777845,81.4908676147461,72.38251495361328,27.542552,9.458022687481161
"Woina Dega (Mid-Highlands, 1,500–2,300 m)",3043926.4499999997,68.1303603972532,65.98050689697266,45.77302932739258,200.839824,68.96774169444151
"Dega (Highlands, 2,300–3,200 m)",1058371.38,23.688884977341754,56.88880920410156,34.38874053955078,60.209488,20.675742157285377
"Wurch (Afro-Alpine, >3,200 m)",27516.239999999998,0.6158793186272008,95.08901977539062,85.73158264160156,2.61649225,0.8984949202281122
