Zone,Region,Area_ha,Area_sqkm,Mean_Soil_Loss_t_ha_yr,Median_Soil_Loss_t_ha_yr,P90_Soil_Loss_t_ha_yr,Total_Displacement_Mt_yr,Slight_pct,Low_pct,Moderate_pct,High_pct,Very_High_pct,Severe_pct
Bahir Dar Special Zone,Amhara,725.85,7.258500000000001,3.1856656074523926,2.293726921081543,7.430585861206055,0.0023123154296875,75.30068195908245,21.33911965282083,3.2114073155610665,0.14879107253564788,0.0,0.0
Agew Awi,Amhara,17623.53,176.2353,7.7724289894104,2.837872266769409,16.489490509033203,0.136977640625,69.02465056660044,16.30859424871181,8.974705975477104,3.0906407513137264,1.2297195851228442,1.3716888727740695
Mirab Gojjam,Amhara,561223.98,5612.239799999999,23.566938400268555,4.609098434448242,80.73395538330078,13.226331,51.545906858791035,14.33458171192186,13.525370031408851,6.229667876985584,4.2909820068629285,10.073491514029746
Semen Gondar,Amhara,1195899.39,11958.9939,62.11082077026367,39.929988861083984,169.7571258544922,74.278296,15.099108797103744,12.703500082895768,12.261823296021584,14.953689373484838,11.422457536331715,33.55942091416235
Debub Gondar,Amhara,1394733.24,13947.3324,65.48480224609375,45.076866149902344,180.0,91.333832,15.13322934785723,9.822233103155984,13.600174897961132,14.0641797566967,11.779626762175683,35.60055613215327
Misraq Gojjam,Amhara,160129.25999999998,1601.2925999999998,72.61978149414062,55.82183837890625,180.0,11.628552,11.7813821159231,8.544559563942281,16.16657692666537,10.94432710174268,11.895365031974793,40.66778925975178
Semen Wello,Amhara,430193.88,4301.9388,75.7836685180664,65.77091217041016,180.0,32.60167,8.507171231724636,8.22844341718669,10.16748773831929,15.825810911117562,15.170968959391054,42.100117742260764
Wag Himra,Amhara,503197.38,5031.9738,93.90568542480469,89.38861846923828,180.0,47.253096,2.2187118700816764,5.281875672723097,7.920345292735825,13.571469708367717,16.56999485967117,54.43760259642051
Debub Wollo,Amhara,204070.86,2040.7086,101.66714477539062,100.0796890258789,180.0,20.747302,2.7033403985262763,4.0855073575913785,7.82459092885677,11.689145623240869,13.165426950226994,60.531988741557704
